,id,entry name,protein_names,tissue_specificity
577,P05387,RLA2_HUMAN,Large ribosomal subunit protein P2 (60S acidic ribosomal protein P2) (Renal carcinoma antigen NY-REN-44),
578,P05423,RPC4_HUMAN,DNA-directed RNA polymerase III subunit RPC4 (RNA polymerase III subunit C4) (DNA-directed RNA polymerase III subunit D) (Protein BN51) (RNA polymerase III 47 kDa subunit) (RPC53 homolog),
579,P05451,REG1A_HUMAN,Lithostathine-1-alpha (Islet cells regeneration factor) (ICRF) (Islet of Langerhans regenerating protein) (REG) (Pancreatic stone protein) (PSP) (Pancreatic thread protein) (PTP) (Regenerating islet-derived protein 1-alpha) (REG-1-alpha) (Regenerating protein I alpha),"TISSUE SPECIFICITY: In pancreatic acinar cells and, in lower levels, in brain. Enhanced expression of PSP-related transcripts and intraneuronal accumulation of PSP-like proteins is found in brain from Alzheimer disease and Down syndrome patients. {ECO:0000269|PubMed:2394826}."
580,P05455,LA_HUMAN,Lupus La protein (La autoantigen) (La ribonucleoprotein) (Sjoegren syndrome type B antigen) (SS-B),
581,P05543,THBG_HUMAN,Thyroxine-binding globulin (Serpin A7) (T4-binding globulin),TISSUE SPECIFICITY: Expressed by the liver and secreted in plasma.
582,P05546,HEP2_HUMAN,Heparin cofactor 2 (Heparin cofactor II) (HC-II) (Protease inhibitor leuserpin-2) (HLS2) (Serpin D1),TISSUE SPECIFICITY: Expressed predominantly in liver. Also present in plasma. {ECO:0000269|PubMed:32827448}.; TISSUE SPECIFICITY: [Isoform 2]: Expressed in plasma (at protein level) (PubMed:32827448). Expressed in liver (PubMed:32827448). {ECO:0000269|PubMed:32827448}.
583,P05556,ITB1_HUMAN,Integrin beta-1 (Fibronectin receptor subunit beta) (Glycoprotein IIa) (GPIIA) (VLA-4 subunit beta) (CD antigen CD29),"TISSUE SPECIFICITY: Expressed in vascular smooth muscle cells (at protein level). {ECO:0000269|PubMed:35802072}.; TISSUE SPECIFICITY: [Isoform 1]: Expressed in placenta (at protein level) (PubMed:33962943). Widely expressed, other isoforms are generally coexpressed with a more restricted distribution (PubMed:1551917, PubMed:7545396, PubMed:7681433). {ECO:0000269|PubMed:1551917, ECO:0000269|PubMed:33962943, ECO:0000269|PubMed:7545396, ECO:0000269|PubMed:7681433}.; TISSUE SPECIFICITY: [Isoform 2]: Expressed in skin, liver, skeletal muscle, cardiac muscle, placenta, umbilical vein endothelial cells, neuroblastoma cells, lymphoma cells, hepatoma cells and astrocytoma cells. {ECO:0000269|PubMed:2249781}.; TISSUE SPECIFICITY: [Isoform 3]: Together with isoform 4, is expressed in muscle, kidney, liver, placenta, cervical epithelium, umbilical vein endothelial cells, fibroblast cells, embryonal kidney cells, platelets and several blood cell lines. Expressed in non-proliferating and differentiated prostate gland epithelial cells and in platelets, on the surface of erythroleukemia cells and in various hematopoietic cell lines. {ECO:0000269|PubMed:1551917, ECO:0000269|PubMed:9494094}.; TISSUE SPECIFICITY: [Isoform 4]: Together with isoform 3, is expressed in muscle, kidney, liver, placenta, cervical epithelium, umbilical vein endothelial cells, fibroblast cells, embryonal kidney cells, platelets and several blood cell lines. Rather than isoform 3, is selectively expressed in peripheral T-cells. {ECO:0000269|PubMed:9494094}.; TISSUE SPECIFICITY: [Isoform 5]: Expressed specifically in striated muscle (skeletal and cardiac muscle). {ECO:0000269|PubMed:7544298, ECO:0000269|PubMed:7545396}."
584,P05771,KPCB_HUMAN,Protein kinase C beta type (PKC-B) (PKC-beta) (EC 2.7.11.13),
585,P05783,K1C18_HUMAN,"Keratin, type I cytoskeletal 18 (Cell proliferation-inducing gene 46 protein) (Cytokeratin-18) (CK-18) (Keratin-18) (K18)","TISSUE SPECIFICITY: Expressed in colon, placenta, liver and very weakly in exocervix. Increased expression observed in lymph nodes of breast carcinoma. {ECO:0000269|PubMed:17213200, ECO:0000269|PubMed:2422083, ECO:0000269|PubMed:2434380, ECO:0000269|PubMed:2434381}."
586,P05787,K2C8_HUMAN,"Keratin, type II cytoskeletal 8 (Cytokeratin-8) (CK-8) (Keratin-8) (K8) (Type-II keratin Kb8)","TISSUE SPECIFICITY: Observed in muscle fibers accumulating in the costameres of myoplasm at the sarcolemma membrane in structures that contain dystrophin and spectrin. Expressed in gingival mucosa and hard palate of the oral cavity. {ECO:0000269|PubMed:10973561, ECO:0000269|PubMed:16000376}."
587,P05976,MYL1_HUMAN,"Myosin light chain 1/3, skeletal muscle isoform (MLC1/MLC3) (MLC1F/MLC3F) (Myosin light chain alkali 1/2) (Myosin light chain A1/A2)",
588,P05997,CO5A2_HUMAN,Collagen alpha-2(V) chain,
589,P06127,CD5_HUMAN,T-cell surface glycoprotein CD5 (Lymphocyte antigen T1/Leu-1) (CD antigen CD5),
590,P06213,INSR_HUMAN,Insulin receptor (IR) (EC 2.7.10.1) (CD antigen CD220) [Cleaved into: Insulin receptor subunit alpha; Insulin receptor subunit beta],"TISSUE SPECIFICITY: Isoform Long and isoform Short are predominantly expressed in tissue targets of insulin metabolic effects: liver, adipose tissue and skeletal muscle but are also expressed in the peripheral nerve, kidney, pulmonary alveoli, pancreatic acini, placenta vascular endothelium, fibroblasts, monocytes, granulocytes, erythrocytes and skin. Isoform Short is preferentially expressed in fetal cells such as fetal fibroblasts, muscle, liver and kidney. Found as a hybrid receptor with IGF1R in muscle, heart, kidney, adipose tissue, skeletal muscle, hepatoma, fibroblasts, spleen and placenta (at protein level). Overexpressed in several tumors, including breast, colon, lung, ovary, and thyroid carcinomas. {ECO:0000269|PubMed:10207053, ECO:0000269|PubMed:2369896, ECO:0000269|PubMed:9202395, ECO:0000269|PubMed:9355755}."
591,P06310,KV230_HUMAN,Immunoglobulin kappa variable 2-30 (Ig kappa chain V-II region RPMI 6410),
592,P06312,KV401_HUMAN,Immunoglobulin kappa variable 4-1 (Ig kappa chain V-IV region B17) (Ig kappa chain V-IV region JI) (Ig kappa chain V-IV region Len) (Ig kappa chain V-IV region STH),
593,P06331,HV434_HUMAN,Immunoglobulin heavy variable 4-34 (Ig heavy chain V-II region ARH-77),
594,P06340,DOA_HUMAN,"HLA class II histocompatibility antigen, DO alpha chain (MHC DN-alpha) (MHC DZ alpha) (MHC class II antigen DOA)",
595,P06396,GELS_HUMAN,Gelsolin (AGEL) (Actin-depolymerizing factor) (ADF) (Brevin),"TISSUE SPECIFICITY: Phagocytic cells, platelets, fibroblasts, nonmuscle cells, smooth and skeletal muscle cells."
596,P06401,PRGR_HUMAN,Progesterone receptor (PR) (Nuclear receptor subfamily 3 group C member 3),"TISSUE SPECIFICITY: In reproductive tissues the expression of isoform A and isoform B varies as a consequence of developmental and hormonal status. Isoform A and isoform B are expressed in comparable levels in uterine glandular epithelium during the proliferative phase of the menstrual cycle. Expression of isoform B but not of isoform A persists in the glands during mid-secretory phase. In the stroma, isoform A is the predominant form throughout the cycle. Heterogeneous isoform expression between the glands of the endometrium basalis and functionalis is implying region-specific responses to hormonal stimuli. {ECO:0000269|PubMed:11041221}."
597,P06576,ATPB_HUMAN,"ATP synthase subunit beta, mitochondrial (EC 7.1.2.2) (ATP synthase F1 subunit beta)",
598,P06702,S10A9_HUMAN,Protein S100-A9 (Calgranulin-B) (Calprotectin L1H subunit) (Leukocyte L1 complex heavy chain) (Migration inhibitory factor-related protein 14) (MRP-14) (p14) (S100 calcium-binding protein A9),"TISSUE SPECIFICITY: Calprotectin (S100A8/9) is predominantly expressed in myeloid cells. Except for inflammatory conditions, the expression is restricted to a specific stage of myeloid differentiation since both proteins are expressed in circulating neutrophils and monocytes but are absent in normal tissue macrophages and lymphocytes. Under chronic inflammatory conditions, such as psoriasis and malignant disorders, also expressed in the epidermis. Found in high concentrations at local sites of inflammation or in the serum of patients with inflammatory diseases such as rheumatoid, cystic fibrosis, inflammatory bowel disease, Crohn's disease, giant cell arteritis, cystic fibrosis, Sjogren's syndrome, systemic lupus erythematosus, and progressive systemic sclerosis. Involved in the formation and deposition of amyloids in the aging prostate known as corpora amylacea inclusions. Strongly up-regulated in many tumors, including gastric, esophageal, colon, pancreatic, bladder, ovarian, thyroid, breast and skin cancers. {ECO:0000269|PubMed:15598812, ECO:0000269|PubMed:3313057, ECO:0000269|PubMed:3405210, ECO:0000269|PubMed:8423249, ECO:0000269|PubMed:9083090}."
599,P06703,S10A6_HUMAN,Protein S100-A6 (Calcyclin) (Growth factor-inducible protein 2A9) (MLN 4) (Prolactin receptor-associated protein) (PRA) (S100 calcium-binding protein A6),
600,P06727,APOA4_HUMAN,Apolipoprotein A-IV (Apo-AIV) (ApoA-IV) (Apolipoprotein A4),TISSUE SPECIFICITY: Synthesized primarily in the intestine and secreted in plasma.
601,P06732,KCRM_HUMAN,Creatine kinase M-type (EC 2.7.3.2) (Creatine kinase M chain) (Creatine phosphokinase M-type) (CPK-M) (M-CK),
602,P06737,PYGL_HUMAN,"Glycogen phosphorylase, liver form (EC 2.4.1.1)",
603,P06748,NPM_HUMAN,Nucleophosmin (NPM) (Nucleolar phosphoprotein B23) (Nucleolar protein NO38) (Numatrin),
604,P06753,TPM3_HUMAN,Tropomyosin alpha-3 chain (Gamma-tropomyosin) (Tropomyosin-3) (Tropomyosin-5) (hTM5),
605,P06756,ITAV_HUMAN,Integrin alpha-V (Vitronectin receptor) (Vitronectin receptor subunit alpha) (CD antigen CD51) [Cleaved into: Integrin alpha-V heavy chain; Integrin alpha-V light chain],
606,P07093,GDN_HUMAN,Glia-derived nexin (GDN) (Peptidase inhibitor 7) (PI-7) (Protease nexin 1) (PN-1) (Protease nexin I) (Serpin E2),
607,P07098,LIPF_HUMAN,Gastric triacylglycerol lipase (GL) (Gastric lipase) (EC 3.1.1.3),
608,P07099,HYEP_HUMAN,Epoxide hydrolase 1 (EC 3.3.2.9) (Epoxide hydratase) (Microsomal epoxide hydrolase) (mEH),TISSUE SPECIFICITY: Found in liver. {ECO:0000269|PubMed:12878321}.
609,P07101,TY3H_HUMAN,Tyrosine 3-monooxygenase (EC 1.14.16.2) (Tyrosine 3-hydroxylase) (TH),TISSUE SPECIFICITY: Mainly expressed in the brain and adrenal glands.
610,P07148,FABPL_HUMAN,"Fatty acid-binding protein, liver (Fatty acid-binding protein 1) (Liver-type fatty acid-binding protein) (L-FABP)",
611,P07196,NFL_HUMAN,Neurofilament light polypeptide (NF-L) (68 kDa neurofilament protein) (Neurofilament triplet L protein),
612,P07205,PGK2_HUMAN,"Phosphoglycerate kinase 2 (EC 2.7.2.3) (Phosphoglycerate kinase, testis specific)",TISSUE SPECIFICITY: Mainly found in round spermatids. Localized on the principle piece in the sperm (at protein level). Testis-specific. Expression significantly decreased in the testis of elderly men. {ECO:0000269|PubMed:26677959}.
613,P07305,H10_HUMAN,"Histone H1.0 (Histone H1') (Histone H1(0)) [Cleaved into: Histone H1.0, N-terminally processed]",
614,P07327,ADH1A_HUMAN,Alcohol dehydrogenase 1A (EC 1.1.1.1) (Alcohol dehydrogenase subunit alpha),
615,P07357,CO8A_HUMAN,Complement component C8 alpha chain (Complement component 8 subunit alpha),
616,P07360,CO8G_HUMAN,Complement component C8 gamma chain,
617,P07384,CAN1_HUMAN,Calpain-1 catalytic subunit (EC 3.4.22.52) (Calcium-activated neutral proteinase 1) (CANP 1) (Calpain mu-type) (Calpain-1 large subunit) (Cell proliferation-inducing gene 30 protein) (Micromolar-calpain) (muCANP),"TISSUE SPECIFICITY: Ubiquitous. {ECO:0000269|PubMed:2400579, ECO:0000269|PubMed:3017764, ECO:0000269|PubMed:8769305, ECO:0000269|PubMed:8954105, ECO:0000269|PubMed:9271093}."
618,P07451,CAH3_HUMAN,Carbonic anhydrase 3 (EC 4.2.1.1) (Carbonate dehydratase III) (Carbonic anhydrase III) (CA-III),"TISSUE SPECIFICITY: Muscle specific. {ECO:0000269|PubMed:3086182, ECO:0000269|PubMed:3099285}."
619,P07476,INVO_HUMAN,Involucrin,TISSUE SPECIFICITY: Keratinocytes of epidermis and other stratified squamous epithelia.
620,P07585,PGS2_HUMAN,Decorin (Bone proteoglycan II) (PG-S2) (PG40),"TISSUE SPECIFICITY: Detected in placenta (at protein level) (PubMed:32337544). Detected in cerebrospinal fluid, fibroblasts and urine (at protein level) (PubMed:25326458, PubMed:36213313, PubMed:37453717). {ECO:0000269|PubMed:25326458, ECO:0000269|PubMed:32337544, ECO:0000269|PubMed:36213313, ECO:0000269|PubMed:37453717}."
621,P07686,HEXB_HUMAN,Beta-hexosaminidase subunit beta (EC 3.2.1.52) (Beta-N-acetylhexosaminidase subunit beta) (Hexosaminidase subunit B) (Cervical cancer proto-oncogene 7 protein) (HCC-7) (N-acetyl-beta-glucosaminidase subunit beta) [Cleaved into: Beta-hexosaminidase subunit beta chain B; Beta-hexosaminidase subunit beta chain A],
622,P07738,PMGE_HUMAN,"Bisphosphoglycerate mutase (BPGM) (EC 5.4.2.4) (2,3-bisphosphoglycerate mutase, erythrocyte) (2,3-bisphosphoglycerate synthase) (EC 5.4.2.11) (2,3-diphosphoglycerate mutase) (DPGM) (BPG-dependent PGAM)","TISSUE SPECIFICITY: Expressed in red blood cells. Expressed in non-erythroid cells of the placenta; present in the syncytiotrophoblast layer of the placental villi at the feto-maternal interface (at protein level). {ECO:0000269|PubMed:16246416, ECO:0000269|PubMed:3023066, ECO:0000269|PubMed:6313356}."
623,P07814,SYEP_HUMAN,Bifunctional glutamate/proline--tRNA ligase (Bifunctional aminoacyl-tRNA synthetase) (Cell proliferation-inducing gene 32 protein) (Glutamatyl-prolyl-tRNA synthetase) [Includes: Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS); Proline--tRNA ligase (EC 6.1.1.15) (Prolyl-tRNA synthetase)],
624,P07858,CATB_HUMAN,Cathepsin B (EC 3.4.22.1) (APP secretase) (APPS) (Cathepsin B1) [Cleaved into: Cathepsin B light chain; Cathepsin B heavy chain],TISSUE SPECIFICITY: Expressed in the stratum spinosum of the epidermis. Weak expression is detected in the stratum granulosum. {ECO:0000269|PubMed:28457472}.
625,P07900,HS90A_HUMAN,Heat shock protein HSP 90-alpha (EC 3.6.4.10) (Heat shock 86 kDa) (HSP 86) (HSP86) (Heat shock protein family C member 1) (Lipopolysaccharide-associated protein 2) (LAP-2) (LPS-associated protein 2) (Renal carcinoma antigen NY-REN-38),
626,P07902,GALT_HUMAN,Galactose-1-phosphate uridylyltransferase (Gal-1-P uridylyltransferase) (EC 2.7.7.12) (UDP-glucose--hexose-1-phosphate uridylyltransferase),
627,P07919,QCR6_HUMAN,"Cytochrome b-c1 complex subunit 6, mitochondrial (Complex III subunit 6) (Complex III subunit VIII) (Cytochrome c1 non-heme 11 kDa protein) (Mitochondrial hinge protein) (Ubiquinol-cytochrome c reductase complex 11 kDa protein)",
628,P07948,LYN_HUMAN,Tyrosine-protein kinase Lyn (EC 2.7.10.2) (Lck/Yes-related novel protein tyrosine kinase) (V-yes-1 Yamaguchi sarcoma viral related oncogene homolog) (p53Lyn) (p56Lyn),"TISSUE SPECIFICITY: Detected in monocytes (at protein level). Detected in placenta, and in fetal brain, lung, liver and kidney. Widely expressed in a variety of organs, tissues, and cell types such as epidermoid, hematopoietic, and neuronal cells. Expressed in primary neuroblastoma tumors. {ECO:0000269|PubMed:3561390, ECO:0000269|PubMed:8064233}."
629,P07954,FUMH_HUMAN,"Fumarate hydratase, mitochondrial (Fumarase) (HsFH) (EC 4.2.1.2)",TISSUE SPECIFICITY: Expressed in red blood cells; underexpressed in red blood cells (cytoplasm) of patients with hereditary non-spherocytic hemolytic anemia of unknown etiology. {ECO:0000269|PubMed:22509282}.
630,P07996,TSP1_HUMAN,Thrombospondin-1 (Glycoprotein G),"TISSUE SPECIFICITY: Expressed by platelets (at protein level) (PubMed:101549). Expressed by monocyte-derived immature and mature dendritic cells (at protein level) (PubMed:14568985). {ECO:0000269|PubMed:101549, ECO:0000269|PubMed:14568985}."
631,P08133,ANXA6_HUMAN,Annexin A6 (67 kDa calelectrin) (Annexin VI) (Annexin-6) (Calphobindin-II) (CPB-II) (Chromobindin-20) (Lipocortin VI) (Protein III) (p68) (p70),
632,P08138,TNR16_HUMAN,Tumor necrosis factor receptor superfamily member 16 (Gp80-LNGFR) (Low affinity neurotrophin receptor p75NTR) (Low-affinity nerve growth factor receptor) (NGF receptor) (Low-affinity nerve growth factor receptor p75NGFR) (Low-affinity nerve growth factor receptor p75NGR) (p75 ICD) (CD antigen CD271),
633,P08183,MDR1_HUMAN,ATP-dependent translocase ABCB1 (ATP-binding cassette sub-family B member 1) (Multidrug resistance protein 1) (EC 7.6.2.2) (P-glycoprotein 1) (Phospholipid transporter ABCB1) (EC 7.6.2.1) (CD antigen CD243),"TISSUE SPECIFICITY: Expressed in small intestine (PubMed:28408210). Expressed in liver, kidney and brain. {ECO:0000269|PubMed:28408210}."
634,P08185,CBG_HUMAN,Corticosteroid-binding globulin (CBG) (Serpin A6) (Transcortin),TISSUE SPECIFICITY: Plasma; synthesized in liver. Has also been identified in a number of glycocorticoid responsive cells.
635,P08217,CEL2A_HUMAN,Chymotrypsin-like elastase family member 2A (EC 3.4.21.71) (Elastase-2A),"TISSUE SPECIFICITY: Expressed in pancreas. Not detected in keratinocytes (PubMed:10620133). Detected in exocrine secretions of the pancreas (at protein level). Also expressed in a small fraction of cells in pancreatic islets, adrenal cortex, intestinal glands and colonic lymphoid follicles (at protein level) (PubMed:31358993). Detected in plasma (PubMed:31358993). {ECO:0000269|PubMed:10620133, ECO:0000269|PubMed:31358993}."
636,P08236,BGLR_HUMAN,Beta-glucuronidase (EC 3.2.1.31) (Beta-G1),
637,P08238,HS90B_HUMAN,Heat shock protein HSP 90-beta (HSP 90) (Heat shock 84 kDa) (HSP 84) (HSP84) (Heat shock protein family C member 3),
638,P08240,SRPRA_HUMAN,Signal recognition particle receptor subunit alpha (SR-alpha) (Docking protein alpha) (DP-alpha),
639,P08246,ELNE_HUMAN,Neutrophil elastase (EC 3.4.21.37) (Bone marrow serine protease) (Elastase-2) (Human leukocyte elastase) (HLE) (Medullasin) (PMN elastase),TISSUE SPECIFICITY: Bone marrow cells. Neutrophil (PubMed:10947984). {ECO:0000269|PubMed:10947984}.
640,P08253,MMP2_HUMAN,72 kDa type IV collagenase (EC 3.4.24.24) (72 kDa gelatinase) (Gelatinase A) (Matrix metalloproteinase-2) (MMP-2) (TBE-1) [Cleaved into: PEX],"TISSUE SPECIFICITY: Produced by normal skin fibroblasts. PEX is expressed in a number of tumors including gliomas, breast and prostate. {ECO:0000269|PubMed:11751392}."
641,P08263,GSTA1_HUMAN,"Glutathione S-transferase A1 (EC 2.5.1.18) (13-hydroperoxyoctadecadienoate peroxidase) (EC 1.11.1.-) (Androst-5-ene-3,17-dione isomerase) (EC 5.3.3.-) (GST HA subunit 1) (GST class-alpha member 1) (GST-epsilon) (GSTA1-1) (GTH1) [Cleaved into: Glutathione S-transferase A1, N-terminally processed]",TISSUE SPECIFICITY: Liver.
642,P08294,SODE_HUMAN,Extracellular superoxide dismutase [Cu-Zn] (EC-SOD) (EC 1.15.1.1),"TISSUE SPECIFICITY: Expressed in blood vessels, heart, lung, kidney and placenta. Major SOD isoenzyme in extracellular fluids such as plasma, lymph and synovial fluid."
643,P08311,CATG_HUMAN,"Cathepsin G (CG) (EC 3.4.21.20) [Cleaved into: Cathepsin G, C-terminal truncated form]","TISSUE SPECIFICITY: Expressed in neutrophils (at protein level) (PubMed:3799965). Expressed in B cells (PubMed:15100291). {ECO:0000269|PubMed:15100291, ECO:0000269|PubMed:3799965}."
644,P08473,NEP_HUMAN,Neprilysin (EC 3.4.24.11) (Atriopeptidase) (Common acute lymphocytic leukemia antigen) (CALLA) (Enkephalinase) (Neutral endopeptidase 24.11) (NEP) (Neutral endopeptidase) (Skin fibroblast elastase) (SFE) (CD antigen CD10),
645,P08493,MGP_HUMAN,Matrix Gla protein (MGP) (Cell growth-inhibiting gene 36 protein),
646,P08514,ITA2B_HUMAN,"Integrin alpha-IIb (GPalpha IIb) (GPIIb) (Platelet membrane glycoprotein IIb) (CD antigen CD41) [Cleaved into: Integrin alpha-IIb heavy chain; Integrin alpha-IIb light chain, form 1; Integrin alpha-IIb light chain, form 2]","TISSUE SPECIFICITY: Isoform 1 and isoform 2 are expressed in platelets and megakaryocytes, but not in reticulocytes. Not detected in Jurkat, nor in U937 cell lines (PubMed:2351656). Isoform 3 is expressed in prostate adenocarcinoma, as well as in several erythroleukemia, prostate adenocarcinoma and melanoma cell lines, including PC-3, DU-145, HEL, WM983A, WM983B and WM35. Not detected in platelets, nor in normal prostate (at protein level) (PubMed:9809974). {ECO:0000269|PubMed:2351656, ECO:0000269|PubMed:9809974}."
647,P08519,APOA_HUMAN,Apolipoprotein(a) (Apo(a)) (Lp(a)) (EC 3.4.21.-),
648,P08559,ODPA_HUMAN,"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial (EC 1.2.4.1) (PDHE1-A type I)",TISSUE SPECIFICITY: Ubiquitous.
649,P08567,PLEK_HUMAN,Pleckstrin (Platelet 47 kDa protein) (p47),
650,P08571,CD14_HUMAN,"Monocyte differentiation antigen CD14 (My23 antigen) (Myeloid cell-specific leucine-rich glycoprotein) (CD antigen CD14) [Cleaved into: Monocyte differentiation antigen CD14, urinary form; Monocyte differentiation antigen CD14, membrane-bound form]","TISSUE SPECIFICITY: Detected on macrophages (at protein level) (PubMed:1698311). Expressed strongly on the surface of monocytes and weakly on the surface of granulocytes; also expressed by most tissue macrophages. {ECO:0000269|PubMed:1698311, ECO:0000269|PubMed:25497142}."
651,P08572,CO4A2_HUMAN,Collagen alpha-2(IV) chain [Cleaved into: Canstatin],
652,P08574,CY1_HUMAN,"Cytochrome c1, heme protein, mitochondrial (EC 7.1.1.8) (Complex III subunit 4) (Complex III subunit IV) (Cytochrome b-c1 complex subunit 4) (Ubiquinol-cytochrome-c reductase complex cytochrome c1 subunit) (Cytochrome c-1)",
653,P08575,PTPRC_HUMAN,Receptor-type tyrosine-protein phosphatase C (EC 3.1.3.48) (Leukocyte common antigen) (L-CA) (T200) (CD antigen CD45),TISSUE SPECIFICITY: Isoform 1: Detected in thymocytes. Isoform 2: Detected in thymocytes. Isoform 3: Detected in thymocytes. Isoform 4: Not detected in thymocytes. Isoform 5: Detected in thymocytes. Isoform 6: Not detected in thymocytes. Isoform 7: Detected in thymocytes. Isoform 8: Not detected in thymocytes. {ECO:0000269|PubMed:11975983}.
654,P08579,RU2B_HUMAN,U2 small nuclear ribonucleoprotein B'' (U2 snRNP B''),
655,P08581,MET_HUMAN,Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met),"TISSUE SPECIFICITY: Expressed in normal hepatocytes as well as in epithelial cells lining the stomach, the small and the large intestine. Found also in basal keratinocytes of esophagus and skin. High levels are found in liver, gastrointestinal tract, thyroid and kidney. Also present in the brain. Expressed in metaphyseal bone (at protein level) (PubMed:26637977). {ECO:0000269|PubMed:1719465, ECO:0000269|PubMed:1917129, ECO:0000269|PubMed:26637977}."
656,P08582,TRFM_HUMAN,Melanotransferrin (Melanoma-associated antigen p97) (CD antigen CD228),"TISSUE SPECIFICITY: Found predominantly in human melanomas and in certain fetal tissues; also found in liver, epithelium, umbilical chord, placenta and sweat gland ducts."
657,P08590,MYL3_HUMAN,"Myosin light chain 3 (Cardiac myosin light chain 1) (CMLC1) (Myosin light chain 1, slow-twitch muscle B/ventricular isoform) (MLC1SB) (Ventricular myosin alkali light chain) (Ventricular myosin light chain 1) (VLCl) (Ventricular/slow twitch myosin alkali light chain) (MLC-lV/sb)",
658,P08603,CFAH_HUMAN,Complement factor H (H factor 1),"TISSUE SPECIFICITY: Expressed in the retinal pigment epithelium (at protein level) (PubMed:25136834). CFH is one of the most abundant complement components in blood where the liver is the major source of CFH protein in vivo. in addition, CFH is secreted by additional cell types including monocytes, fibroblasts, or endothelial cells (PubMed:2139673, PubMed:25136834, PubMed:2968404, PubMed:6444659). {ECO:0000269|PubMed:2139673, ECO:0000269|PubMed:25136834, ECO:0000269|PubMed:2968404, ECO:0000269|PubMed:6444659}."
659,P08621,RU17_HUMAN,U1 small nuclear ribonucleoprotein 70 kDa (U1 snRNP 70 kDa) (U1-70K) (snRNP70),
660,P08648,ITA5_HUMAN,Integrin alpha-5 (CD49 antigen-like family member E) (Fibronectin receptor subunit alpha) (Integrin alpha-F) (VLA-5) (CD antigen CD49e) [Cleaved into: Integrin alpha-5 heavy chain; Integrin alpha-5 light chain],TISSUE SPECIFICITY: Expressed in placenta (at protein level). {ECO:0000269|PubMed:33962943}.
661,P08670,VIME_HUMAN,Vimentin,"TISSUE SPECIFICITY: Highly expressed in fibroblasts, some expression in T- and B-lymphocytes, and little or no expression in Burkitt's lymphoma cell lines. Expressed in many hormone-independent mammary carcinoma cell lines. {ECO:0000269|PubMed:2472876, ECO:0000269|PubMed:3371665}."
662,P08727,K1C19_HUMAN,"Keratin, type I cytoskeletal 19 (Cytokeratin-19) (CK-19) (Keratin-19) (K19)","TISSUE SPECIFICITY: Expressed in a defined zone of basal keratinocytes in the deep outer root sheath of hair follicles. Also observed in sweat gland and mammary gland ductal and secretory cells, bile ducts, gastrointestinal tract, bladder urothelium, oral epithelia, esophagus, ectocervical epithelium (at protein level). Expressed in epidermal basal cells, in nipple epidermis and a defined region of the hair follicle. Also seen in a subset of vascular wall cells in both the veins and artery of human umbilical cord, and in umbilical cord vascular smooth muscle. Observed in muscle fibers accumulating in the costameres of myoplasm at the sarcolemma in structures that contain dystrophin and spectrin. {ECO:0000269|PubMed:16000376, ECO:0000269|PubMed:2468493, ECO:0000269|PubMed:2469734}."
663,P08729,K2C7_HUMAN,"Keratin, type II cytoskeletal 7 (Cytokeratin-7) (CK-7) (Keratin-7) (K7) (Sarcolectin) (Type-II keratin Kb7)","TISSUE SPECIFICITY: Expressed in cultured epidermal, bronchial and mesothelial cells but absent in colon, ectocervix and liver. Observed throughout the glandular cells in the junction between stomach and esophagus but is absent in the esophagus. {ECO:0000269|PubMed:12359226, ECO:0000269|PubMed:2415537}."
664,P08754,GNAI3_HUMAN,Guanine nucleotide-binding protein G(i) subunit alpha-3 (G(i) alpha-3),
665,P08779,K1C16_HUMAN,"Keratin, type I cytoskeletal 16 (Cytokeratin-16) (CK-16) (Keratin-16) (K16)",TISSUE SPECIFICITY: Expressed in the corneal epithelium (at protein level). {ECO:0000269|PubMed:26758872}.
666,P09093,CEL3A_HUMAN,Chymotrypsin-like elastase family member 3A (EC 3.4.21.70) (Elastase IIIA) (Elastase-3A) (Protease E),
667,P09104,ENOG_HUMAN,Gamma-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (Enolase 2) (Neural enolase) (Neuron-specific enolase) (NSE),"TISSUE SPECIFICITY: The alpha/alpha homodimer is expressed in embryo and in most adult tissues. The alpha/beta heterodimer and the beta/beta homodimer are found in striated muscle, and the alpha/gamma heterodimer and the gamma/gamma homodimer in neurons."
668,P09105,HBAT_HUMAN,Hemoglobin subunit theta-1 (Hemoglobin theta-1 chain) (Theta-1-globin),
669,P09172,DOPO_HUMAN,Dopamine beta-hydroxylase (EC 1.14.17.1) (Dopamine beta-monooxygenase) [Cleaved into: Soluble dopamine beta-hydroxylase],
670,P09211,GSTP1_HUMAN,Glutathione S-transferase P (EC 2.5.1.18) (GST class-pi) (GSTP1-1),
671,P09228,CYTT_HUMAN,Cystatin-SA (Cystatin-2) (Cystatin-S5),"TISSUE SPECIFICITY: Expressed in submandibular and sublingual saliva but not in parotid saliva (at protein level). Expressed in submandibular gland and parotid gland. {ECO:0000269|PubMed:11879580, ECO:0000269|PubMed:20189825}."
